,iteration,sender,receiver,message
0,0,Agent_0,Agent_11,Highest reward arm?
1,0,Agent_1,Agent_11,"Focus on arm 48, it's unique to you."
2,0,Agent_2,Agent_11,Focus on one arm this round for better estimates next time.
3,0,Agent_3,Agent_22,Take arm 25 instead of 10.
4,0,Agent_4,Agent_11,"Start with arm 48, it might have high rewards."
5,0,Agent_5,Agent_11,Focus on arm 48 and report reward.
6,0,Agent_6,Agent_11,Share rewards after pull?
7,0,Agent_7,Agent_11,Focus on one arm to minimize conflict'
8,0,Agent_8,Agent_11,Start with arm 48 for potential high reward.
9,0,Agent_9,Agent_11,Share your pull result.
10,0,Agent_10,Agent_11,Pull arm 48 first.
11,0,Agent_11,Agent_2,Let's focus on high arms like 47 and 48. Report rewards next round.
12,0,Agent_12,Agent_11,Focus on arm 48 first.
13,0,Agent_13,Agent_8,Start with arm 30
14,0,Agent_14,Agent_11,Share rewards for better results.
15,0,Agent_15,Agent_11,Pull arm 0 first.
16,0,Agent_16,Agent_11,Try different arms to find best.
17,0,Agent_17,Agent_11,Focus on arm 0 to start.
18,0,Agent_18,Agent_23,"Focus on 40, I take 41."
19,0,Agent_19,Agent_11,Start pulling your arms to gather data.'
20,0,Agent_20,Agent_11,Pull arm 48
21,0,Agent_21,Agent_20,"Pull arm 49 first, potential high reward."
22,0,Agent_22,Agent_0,Try arm 50'
23,0,Agent_23,Agent_28,Consider pulling arm 40 instead of 23 or 28.
24,0,Agent_24,Agent_11,Start with arm 0.
25,0,Agent_25,Agent_11,Share arm rewards.
26,0,Agent_26,Agent_11,Try arm 48 first.
27,0,Agent_27,Agent_19,Let's share info on arms 43-44.
28,0,Agent_28,Agent_17,Check arms 27 & 28 together.
29,0,Agent_29,Agent_11,What's the reward for arm 35?
30,1,Agent_0,Agent_3,Arm 1 gave me 84.34 reward last round.
31,1,Agent_1,Agent_7,Arm 14 reward: 14.76
32,1,Agent_2,Agent_15,Arm 47 gave 30.86 last round.
33,1,Agent_3,Agent_4,9:30.35 last round
34,1,Agent_4,Agent_20,Arm 32 is good.
35,1,Agent_5,Agent_10,Arm 7: 50.61
36,1,Agent_6,Agent_10,Arm 2 is good.
37,1,Agent_7,Agent_27,Arm 3 gave me 95.52!'
38,1,Agent_8,Agent_10,30 is good
39,1,Agent_9,Agent_19,Arm 5 reward?
40,1,Agent_10,Agent_11,Arm 38 gave 46.19
41,1,Agent_11,Agent_20,48:52.32
42,1,Agent_12,Agent_14,Arm 11 gave 8.92 last round
43,1,Agent_13,Agent_6,Arm 16=83
44,1,Agent_14,Agent_2,Arm 37 gave 84.60 last round.
45,1,Agent_15,Agent_10,"22 gave 43.85, try 30."
46,1,Agent_16,Agent_26,Arm 26 gave high reward last round.
47,1,Agent_17,Agent_29,27:57.22
48,1,Agent_18,Agent_14,41 gave 49.26
49,1,Agent_19,Agent_12,"Pull arm 43, high reward last round."
50,1,Agent_20,Agent_25,Arm 49 gave 85.67 last round.'
51,1,Agent_21,Agent_1,Arm 19 gave 34.73 last round.
52,1,Agent_22,Agent_29,Arm 25 reward 1.47
53,1,Agent_23,Agent_24,Arm 40: 24.89
54,1,Agent_24,Agent_0,Arm 6 gave 50.01
55,1,Agent_25,Agent_23,Arm 45 gave 12.70 in Round 0.
56,1,Agent_26,Agent_20,Arm 12 is good (68.10).
57,1,Agent_27,Agent_8,"Pull arm 26, it's unique to you."
58,1,Agent_28,Agent_12,Arm 28 has high reward (72.16)
59,1,Agent_29,Agent_15,Arm 33 gave 0.99 last round.
60,2,Agent_0,Agent_8,Arm 1 gave 84.34.
61,2,Agent_1,Agent_29,Arm 19 gave 27.20 last round
62,2,Agent_2,Agent_28,Arm 37 had high reward last round (75.87).
63,2,Agent_3,Agent_4,Arm 9 gave 30.35 in round 0
