,iteration,sender,receiver,message
0,0,Agent_0,Agent_6,Pull all arms for data.'
1,0,Agent_1,Agent_3,Focus on arm 31 this round.
2,0,Agent_2,Agent_6,Share arm 29 reward after pull.
3,0,Agent_3,Agent_14,Try arm 21 first.
4,0,Agent_4,Agent_0,Report arm 32 reward'
5,0,Agent_5,Agent_9,Share your reward after this round to help the team.
6,0,Agent_6,Agent_13,Start with arm 6
7,0,Agent_7,Agent_6,Explore all assigned arms first to gather initial data.'
8,0,Agent_8,Agent_3,"Consider starting with arm 31, as nearby arms are being explored by others."
9,0,Agent_9,Agent_6,Start with arm 43.
10,0,Agent_10,Agent_6,"Which of 43,41,29 is best?"
11,0,Agent_11,Agent_6,Let's share rewards after this round to coordinate better next time.
12,0,Agent_12,Agent_29,Let's share rewards after pulling.
13,0,Agent_13,Agent_6,Share rewards.'
14,0,Agent_14,Agent_6,Start with arm 43.
15,0,Agent_15,Agent_6,Focus on one arm first to gather data.
16,0,Agent_16,Agent_0,Let's report rewards after first pull to help the team.
17,0,Agent_17,Agent_3,Pull arm 31 first.
18,0,Agent_18,Agent_6,Report on arm 43 next round.
19,0,Agent_19,Agent_6,Explore all arms and share rewards.
20,0,Agent_20,Agent_6,Focus on one arm at a time.'
21,0,Agent_21,Agent_6,Share your rewards after this round.
22,0,Agent_22,Agent_17,Let's share info on nearby arms next round.
23,0,Agent_23,Agent_20,Let's share rewards for arms 27 and 28.
24,0,Agent_24,Agent_0,"Let's explore arms now, share results next round."
25,0,Agent_25,Agent_6,Best arm so far?
26,0,Agent_26,Agent_6,Let's share info about arms in future rounds.
27,0,Agent_27,Agent_3,Focus on arm 48 this round.
28,0,Agent_28,Agent_20,Try arm 27 first'
29,0,Agent_29,Agent_7,Arm 45 reward?
30,1,Agent_0,Agent_18,Arm 32: 72.77
31,1,Agent_1,Agent_13,Arm 17 had high reward last round.
32,1,Agent_2,Agent_20,Arm 30 reward 55.44
33,1,Agent_3,Agent_4,Arm 31: 18.56
34,1,Agent_4,Agent_29,Arm 0: 31.27
35,1,Agent_5,Agent_25,Arm 8 gave 73.21 in round 0
36,1,Agent_6,Agent_0,Arm 43 is great (98.16)
